eqpdays,months,change_mou,mou_Mean,totmrc_Mean,totcalls,adjrev,hnd_price,totrev,avgqty,adjqty,avgrev,mou_cvce_Mean,mou_peav_Mean,avg3mou,avgmou,avg3qty,adjmou,totmou,change_rev,rev_Mean,mou_opkv_Mean,churn
797.0,27,46.0,194.0,29.99,2694,574.2,29.98999023,694.51,106.48,2662,22.97,164.0033333,167.7333333,179,221.16,75,5529.0,5586.0,12.69,36.08,8.553333333,0
620.0,20,17.25,102.75,24.99,864,364.35,29.98999023,368.35,45.37,862,19.18,58.19666667,51.47666667,97,93.47,45,1776.0,1782.0,0.7425,25.2375,20.71666667,0
745.0,25,-0.5,255.5,59.99,3370,909.0,79.98999023,941.99,139.96,3359,37.88,96.03666667,142.5333333,256,244.46,114,5867.0,5894.0,-0.9,60.89,27.64,1
434.0,14,52.75,870.25,44.99,2682,584.32,149.98999019999997,654.3,205.62,2673,44.95,329.8666667,150.52333330000005,853,531.62,293,6911.0,6933.0,1.3,43.69,488.61,1
57.0,22,-179.75,2582.75,84.99,9228,910.63,199.9899902,973.23,678.77,8824,70.05,611.2066667,396.9066667,2643,1548.0,901,20124.0,20797.0,-8.9775,67.1275,607.05,1
492.0,16,-120.25,363.25,45.15,1307,933.37,29.98999023,978.87,86.8,1302,62.22,200.9833333,265.03,403,288.4,128,4326.0,4337.0,-33.745,87.375,37.34333333,0
467.0,21,-28.0,363.0,30.0,4229,908.22,79.98999023,943.44,210.35,4207,45.41,129.42666670000003,185.9,372,357.5,216,7150.0,7201.0,-12.555,46.695,48.08,1
153.0,21,-0.25,628.25,29.99,4800,788.31,129.9899902,820.3,239.8,4796,39.42,204.7166667,88.40666667,628,470.1,321,9402.0,9408.0,-2.7725,43.4425,323.09,0
363.0,12,109.75,107.25,10.0,310,113.89,59.98999023,193.87,27.82,306,10.35,48.08666667,30.35333333,71,160.36,13,1764.0,1793.0,0.0,10.0,19.14,1
65.0,17,25.0,819.0,54.98,6545,916.25,129.9899902,976.92,434.53,6518,61.08,255.8266667,270.1766667,811,724.4,494,10866.0,10911.0,-13.8975,71.9075,153.88666669999995,1
184.0,11,46.75,1138.25,44.99,3801,718.14,199.9899902,783.75,379.1,3791,71.81,412.4466667,269.3866667,1123,951.7,459,9517.0,9538.0,7.965,81.975,512.3466666999999,1
946.0,31,-13.75,250.75,49.99,3006,1597.58,29.98999023,1632.38,100.07,3002,53.25,105.95333329999998,106.71,255,297.07,99,8912.0,8933.0,2.295,51.355,52.68666667,1
472.0,35,-53.5,954.5,94.99,17331,3391.11,199.9899902,3444.36,639.0,17253,125.6,358.6133333,351.87,972,1194.96,444,32264.0,32400.0,0.0,88.24,218.0933333,1
625.0,21,0.0,0.0,5.0,311,370.62,29.98999023,403.52,16.37,311,19.51,0.0,0.0,0,42.42,0,806.0,806.0,0.0,5.0,0.0,0
271.0,9,-28.25,180.25,39.99,362,262.31,149.98999019999997,327.83,44.63,357,32.79,120.6966667,72.04666667,190,197.88,42,1583.0,1605.0,-1.4725,31.4625,68.67,0
281.0,9,27.0,143.0,10.0,345,95.13,129.9899902,135.3,43.13,345,11.89,73.03666667,65.28,134,150.5,60,1204.0,1204.0,-3.5575,13.5575,16.88,0
525.0,17,26.5,187.5,59.99,2245,1111.38,199.9899902,1224.67,139.38,2230,69.46,87.04666667,76.46,179,442.38,75,7078.0,7136.0,-0.99,66.21,30.54333333,1
380.0,13,-35.75,263.75,10.0,1388,167.81,129.9899902,218.16,115.18,1267,15.26,59.76,75.48666667,276,269.09,128,2960.0,3162.0,-6.675,16.675,41.48,0
539.0,18,38.5,447.5,29.99,2978,1241.41,79.98999023,1362.06,178.44,2855,77.59,263.9433333,301.8966667,435,510.19,90,8163.0,8543.0,-14.735,78.625,85.37666667,0
527.0,17,-6.25,10.25,16.99,70,298.69,29.98999023,347.86,4.31,69,18.67,9.326666667000001,8.826666667000001,12,11.75,5,188.0,190.0,-0.8025,17.9425,0.5,1
570.0,19,-89.0,360.0,30.0,2754,585.95,59.98999023,616.95,152.94,2753,32.55,209.2466667,209.3266667,390,275.94,182,4967.0,4968.0,-24.16,51.55,36.42666667,0
1053.0,35,15.5,132.5,30.0,2777,1220.16,29.98999023,1362.15,79.76,2632,36.97,22.02,41.17666667,127,162.67,77,5368.0,5701.0,0.2925,30.0975,26.98666667,1
810.0,27,21.0,68.0,29.99,461,908.8,59.98999023,939.76,17.73,461,34.95,38.45,27.95666667,61,88.92,13,2312.0,2312.0,0.0,29.99,10.49333333,1
636.0,49,-402.75,1637.75,83.0,24436,4555.48,79.98999023,4694.59,514.72,24192,96.93,660.79,857.4966667000001,1772,1302.69,679,61226.21,61794.20667000001,-18.3125,109.4925,259.04333330000003,1
167.0,24,79.0,371.0,50.0,2979,1623.2,129.9899902,1681.26,135.0,2970,73.78,191.95,209.61,345,347.27,131,7640.0,7651.0,1.2825,51.6875,37.15,0
411.0,14,82.75,303.25,10.0,1132,134.58,59.98999023,201.53,89.83,1078,11.22,56.35666667,50.66333333,276,153.25,152,1839.0,1917.0,1.6275,12.1325,27.00666667,0
244.0,9,84.75,254.25,44.99,490,284.37,199.9899902,354.98,69.14,484,40.62,162.1166667,94.03666667,226,271.57,55,1901.0,1910.0,20.54,42.05,82.30333333,0
340.0,11,0.0,0.0,10.0,194,236.46,79.98999023,296.74,17.8,178,23.65,0.0,0.0,0,42.6,0,426.0,490.0,0.0,10.0,0.0,1
421.0,14,-188.5,306.5,30.0,1487,627.01,149.98999019999997,687.0,114.23,1485,48.23,118.91,82.75333333,369,288.62,162,3752.0,3754.0,-19.915,49.915,74.16666667,1
458.0,33,19.25,1094.75,75.0,14546,2641.78,59.98999023,2712.21,497.59,14430,91.1,351.4366667,423.31666669999987,1088,868.34,533,25182.0,25349.0,-12.4975,118.9175,187.8433333,0
434.0,15,3.25,78.75,39.99,475,410.38,199.9899902,483.9,35.54,462,31.57,0.0,0.0,78,65.15,37,847.0,866.0,-2.51,34.48,0.0,1
51.0,21,236.75,969.25,59.99,5794,975.83,199.9899902,1008.73,304.37,5783,51.36,264.3766667,216.6533333,890,485.0,562,9215.0,9243.0,45.2525,69.7475,279.02,1
447.0,15,-42.0,59.0,19.99,406,543.16,59.98999023,580.69,28.93,405,38.8,44.67,30.24333333,73,127.36,31,1783.0,1784.0,-6.46,29.7,15.42333333,1
221.0,29,367.75,647.25,92.49,2037,1970.1,129.9899902,2016.21,72.25,2023,70.36,260.2,384.1033333,525,282.07,128,7898.0,7918.0,-2.64,78.88,77.79666667,0
579.0,19,77.75,192.25,30.0,1410,582.5,29.98999023,714.49,78.33,1410,32.36,101.7366667,70.09666667,166,238.39,47,4291.0,4291.0,-2.5625,33.5525,31.64,1
229.0,8,115.5,313.5,44.99,449,246.58,149.98999019999997,266.74,62.43,437,35.23,175.9233333,46.84,275,226.86,70,1588.0,1641.0,0.0,34.99,165.1,0
438.0,39,-425.75,425.75,6.29,3467,873.04,79.98999023,908.78,128.73,3347,33.58,162.5933333,159.2233333,568,286.12,147,7439.0,7606.0,-21.1925,16.3525,111.87666670000002,0
901.0,30,16.75,220.25,45.03,1390,1054.54,29.98999023,1136.66,48.71,1364,37.66,117.8033333,105.18,215,131.14,101,3672.0,3800.0,-2.1875,36.9575,39.10333333,1
276.0,21,71.25,176.75,30.0,1171,623.23,29.98999023,680.33,59.21,1125,32.8,101.41,71.29333333,153,147.37,55,2800.0,2971.0,0.0,34.0,39.50666667,0
481.0,16,-224.0,917.0,49.99,1817,933.22,79.98999023,972.2,118.2,1773,62.21,738.9733332999998,451.4,992,686.0,183,10290.0,10436.0,-31.5,81.49,294.6933333,0
238.0,8,81.25,639.75,69.99,1646,495.71,199.9899902,607.78,254.0,1524,82.62,154.14,239.5066667,613,716.83,240,4301.0,4767.0,-42.015,93.295,107.04,1
51.0,20,253.5,1051.5,68.1375,3804,1447.62,149.98999019999997,1504.07,199.58,3792,76.19,439.26,677.4033333,967,554.68,325,10539.0,10556.0,-10.1925,148.1725,86.23666667,1
83.0,34,-89.0,1034.0,79.99,6572,2561.73,129.9899902,2629.65,197.18,6507,77.63,554.1233333,576.6333333,1064,536.7,332,17711.0,17822.0,-65.5225,164.6625,220.9033333,1
512.0,17,-54.5,62.5,59.99,1129,858.43,9.989997864,981.29,70.56,1129,53.65,37.09666667,21.32666667,81,169.06,37,2705.0,2705.0,-0.9375,50.9275,17.92333333,0
570.0,19,-36.5,88.5,30.0,1270,536.06,29.98999023,590.81,71.71,1219,31.53,23.56333333,31.39,101,132.82,63,2258.0,2341.0,-0.5175,30.5175,3.043333333,0
68.0,11,-323.5,1189.5,49.99,2004,417.12,99.98999023,527.62,200.4,2004,41.71,831.4566667,215.2166667,1297,841.7,285,8417.0,8417.0,6.345,46.105,761.06,0
466.0,21,-51.25,311.25,50.0,2965,998.4,79.98999023,1088.72,150.0,2850,52.55,85.20333333,167.5033333,328,273.74,177,5201.0,5391.0,-1.6875,51.6875,18.82,1
543.0,18,345.0,378.0,32.49,2136,614.02,9.989997864,677.62,125.59,2135,36.12,160.9833333,175.33333330000005,263,333.06,103,5662.0,5663.0,85.6575,61.7025,29.53,0
229.0,33,148.0,589.0,44.99,1839,1004.17,199.9899902,1034.16,72.0,1800,40.17,308.0566667,241.48,540,203.72,166,5093.0,5156.0,-15.8375,56.4275,238.0133333,0
346.0,31,0.25,600.75,119.1025,6659,2899.54,99.98999023,2965.28,229.21,6647,99.98,0.0,0.0,601,633.59,204,18374.0,18417.0,0.34,137.12,0.0,0
321.0,11,6.5,52.5,69.99,398,503.82,149.98999019999997,686.18,37.33,336,55.98,24.39333333,16.65,50,94.56,26,851.0,1056.0,-0.2475,60.2375,15.14333333,1
23.0,19,76.25,424.75,59.99,3419,1231.0,79.98999023,1296.35,189.89,3418,68.39,123.2766667,191.8433333,399,455.39,223,8197.0,8198.0,-0.945,65.175,61.65,0
23.0,12,793.25,1582.75,40.07,4142,706.95,149.98999019999997,766.93,412.0,4120,70.7,560.2466667,179.78666669999996,1318,845.2,476,8452.0,8481.0,2.5225,49.4475,1100.163333,0
543.0,18,7.25,187.75,10.0,1891,263.45,149.98999019999997,338.1,108.71,1848,15.5,58.12333333,75.94666667,185,222.65,95,3785.0,3871.0,5.5575,12.2425,30.38333333,1
273.0,9,3.75,43.25,69.99,388,485.2,129.9899902,566.08,47.75,382,60.65,9.873333333,16.19333333,42,64.88,33,519.0,526.0,0.0,59.99,4.296666667,0
373.0,12,31.0,205.0,39.99,667,344.76,79.98999023,354.74,60.36,664,31.34,117.08,80.44,195,131.91,95,1451.0,1454.0,6.06,32.78,43.62666667,0
349.0,11,-10.5,10.5,34.83,436,317.65,59.98999023,377.63,43.4,434,31.77,0.696666667,0.0,14,94.2,10,942.0,944.0,2.18,27.81,0.696666667,1
1068.0,36,-26.5,104.5,30.0,1493,1479.79,59.98999023,1536.47,42.91,1459,43.52,87.88666667,80.87333333,113,175.32,32,5961.0,6056.0,-0.99,34.24,16.17,0
566.0,39,68.75,113.25,54.98,3810,2150.25,129.9899902,2207.0,100.21,3808,56.59,23.05666667,19.31666667,90,175.47,54,6668.0,6673.0,-0.495,55.475,30.97666667,0
332.0,11,1021.5,1250.5,79.99,2415,788.51,99.98999023,874.39,236.8,2368,78.85,435.44666669999987,119.84,910,704.3,255,7043.0,7202.0,125.5425,105.5375,514.85,0
485.0,21,-38.5,277.5,30.0,1716,600.42,199.9899902,676.23,87.47,1662,31.6,120.3633333,112.52,290,192.47,133,3657.0,3764.0,-0.9575,30.9575,66.08333333,0
884.0,29,-1.0,1.0,24.99,234,751.33,29.98999023,784.38,8.25,231,26.83,0.0,0.0,1,16.43,1,460.0,465.0,-0.225,25.215,0.0,1
309.0,10,-85.75,143.75,39.99,860,557.72,129.9899902,639.31,94.56,851,61.97,18.46,10.7,172,271.22,41,2441.0,2456.0,-14.1975,50.5175,21.21,0
321.0,11,556.25,933.75,40.0725,1119,511.08,149.98999019999997,571.6,111.9,1119,51.11,421.7166667,253.3533333,748,460.5,172,4605.0,4605.0,-13.595,88.575,435.5266667,1
149.0,17,-46.0,126.0,29.99,769,523.14,149.98999019999997,583.12,47.94,767,32.7,41.36666667,42.47333333,141,91.25,75,1460.0,1466.0,-4.295,32.785,29.21666667,1
465.0,15,16.5,102.5,29.99,703,480.19,29.98999023,521.79,49.86,698,34.3,42.47666667,38.98666667,97,114.64,54,1605.0,1650.0,-0.27,30.26,30.23,0
197.0,20,9.5,225.5,29.99,2366,626.65,29.98999023,688.61,123.33,2220,34.81,112.67,69.92333333,222,281.83,108,5073.0,5370.0,-0.4575,31.4375,101.91,0
844.0,29,-30.0,60.0,38.27,329,475.01,29.98999023,490.09,13.74,316,20.65,33.81333333,18.83,91,35.43,22,815.0,850.0,-4.23,28.22,17.54,0
249.0,21,257.0,446.0,59.99,8416,886.29,129.9899902,963.19,419.11,7963,46.65,57.37333333,63.55666667,360,541.79,263,10294.0,10864.0,9.305,55.045,52.59,0
510.0,17,-0.25,2.25,39.99,65,484.07,29.98999023,544.05,3.69,59,30.25,0.553333333,0.0,2,11.25,2,180.0,189.0,0.0,29.99,0.553333333,0
37.0,27,-184.25,1071.25,84.99,11645,3381.12,129.9899902,3503.44,460.48,11512,135.24,648.9966667,607.22,1133,1136.2,451,28405.0,28774.0,-2.7975,102.0075,297.34,0
117.0,33,-16.5,25.5,16.99,197,814.84,29.98999023,832.96,6.13,196,25.46,10.25,9.49,31,14.69,10,470.0,471.0,-27.61,44.6,0.8866666670000001,0
489.0,16,-822.5,822.5,32.7325,5081,1480.77,149.98999019999997,1569.18,335.47,5032,98.72,336.9466667,438.62666669999993,1097,1011.6,217,15174.0,15362.0,-109.345,109.345,227.1533333,1
690.0,23,-126.0,785.0,38.82,2539,792.82,59.98999023,827.18,115.41,2539,36.04,574.5633333,182.3133333,827,312.91,253,6884.0,6884.0,-1.535,42.615,538.78,0
27.0,8,-7.25,153.25,44.99,230,247.45,59.98999023,262.58,32.29,226,35.35,102.7,80.01333333,156,161.57,45,1131.0,1164.0,0.0,34.99,46.98,1
363.0,12,-53.0,252.0,44.99,1067,399.87,29.98999023,528.17,97.8,978,39.99,110.6,104.7266667,270,185.8,131,1858.0,2009.0,-11.0075,45.9975,34.40333333,1
404.0,14,157.25,359.75,39.99,1519,429.94,79.98999023,439.92,116.69,1517,33.07,157.6166667,135.1933333,307,273.92,115,3561.0,3565.0,25.145,41.535,55.69333333,1
225.0,8,160.0,1658.0,78.03,3197,1174.98,99.98999023,1414.6,511.5,3069,195.83,550.2533333,842.8966667000002,1605,1502.83,524,9017.0,9305.0,-9.19,189.57,228.7966667,1
546.0,18,-0.25,14.25,19.99,757,544.59,149.98999019999997,624.57,44.24,752,32.03,6.093333333,3.35,14,74.59,9,1268.0,1279.0,-0.1,20.09,3.603333333,0
316.0,11,-46.0,98.0,39.99,839,302.99,79.98999023,313.06,83.9,839,30.3,81.98,30.31333333,113,207.5,20,2075.0,2075.0,0.0,29.99,64.25333333,1
403.0,14,-764.0,1295.0,44.99,1710,563.43,29.98999023,628.41,131.46,1709,43.34,0.0,0.0,1550,1077.23,201,14004.0,14005.0,-1.0925,52.7825,0.0,1
63.0,32,-4.5,540.5,10.0,7578,1239.88,199.9899902,1332.1,248.43,7453,41.33,94.23666667,208.5766667,542,436.77,257,13103.0,13286.0,-3.85,14.24,113.65,0
647.0,31,-137.75,176.75,50.0,4642,1589.42,149.98999019999997,1643.96,157.9,4579,54.81,72.81666667,47.39,223,303.86,101,8812.0,8932.0,-1.12,51.71,58.95,0
813.0,27,66.0,398.0,50.0,1562,1401.75,29.98999023,1481.16,58.42,1519,53.91,294.0366667,109.93,376,403.85,43,10500.0,10771.0,0.0,50.0,184.3833333,0
131.0,42,59.0,661.0,49.99,7545,1805.07,199.9899902,1898.34,245.03,7351,60.17,233.95,303.1,641,581.47,266,17444.0,17925.0,6.675,54.665,96.93333333,1
722.0,24,-38.0,38.0,29.99,250,691.97,29.98999023,722.93,10.87,250,30.09,23.17333333,23.17333333,51,34.09,7,784.0,784.0,-2.46,30.95,0.0,0
371.0,12,-65.0,314.0,29.99,1843,721.24,149.98999019999997,944.21,164.18,1806,65.57,102.98,166.41,336,382.36,145,4206.0,4274.0,-16.57,48.96,49.77,0
474.0,16,-45.75,80.75,29.99,821,395.3,79.98999023,425.29,59.15,769,30.41,21.35,21.94666667,96,116.62,55,1516.0,1595.0,-0.285,30.275,15.12,1
67.0,16,-1180.75,1180.75,30.0,1785,1989.35,29.98999023,2049.34,118.67,1780,132.62,417.68,135.81,1574,492.07,215,7381.0,7389.0,-318.295,348.295,940.8466667,0
421.0,14,47.75,116.25,10.0,713,150.47,149.98999019999997,190.46,54.23,705,11.57,53.35,46.79333333,100,129.38,54,1682.0,1693.0,4.6575,11.6725,19.34,1
364.0,12,70.5,417.5,39.99,690,354.73,59.98999023,415.25,62.73,690,32.25,283.7766667,180.1966667,394,357.0,62,3927.0,3927.0,13.83,35.06,197.2333333,0
675.0,23,-77.25,345.25,50.0,3505,1054.53,149.98999019999997,1131.68,165.48,3475,50.22,147.1033333,154.1933333,371,393.05,171,8254.0,8318.0,0.0,50.0,94.75,0
227.0,8,-91.0,173.0,37.575,695,334.9,99.98999023,423.5,99.14,694,47.84,112.9033333,120.0233333,203,200.71,104,1405.0,1407.0,-0.545,30.535,27.85,0
337.0,11,-17.25,178.25,39.99,905,308.97,149.98999019999997,368.95,90.5,905,30.9,0.0,0.0,184,203.7,84,2037.0,2037.0,0.3475,30.6325,0.0,0
367.0,24,-51.5,77.5,32.49,527,758.82,199.9899902,790.74,22.91,527,32.99,74.76666667,65.42333333,95,47.78,38,1099.0,1099.0,0.0,30.87,11.89666667,1
316.0,11,-26.75,455.75,44.99,1009,583.02,149.98999019999997,598.15,100.9,1009,58.3,350.3433333,158.4366667,465,696.0,61,6960.0,6960.0,-10.0625,45.0525,224.0766667,0
334.0,11,-28.75,206.75,44.99,790,360.94,99.98999023,456.63,76.3,763,36.09,146.8133333,72.89666667,216,318.5,71,3185.0,3280.0,-1.145,36.135,75.80666667,0
370.0,12,-201.5,910.5,59.99,3271,687.34,59.98999023,767.32,295.82,3254,62.49,361.9066667,267.3966667,978,840.27,349,9243.0,9277.0,-6.7375,56.7275,282.4633333,0
728.0,24,-1.5,7.5,28.54,54,680.86,79.98999023,711.82,2.26,52,29.6,6.26,5.463333333,8,8.83,6,203.0,206.0,-4.35,28.54,1.45,0
385.0,13,-4.25,46.25,10.0,559,263.3,149.98999019999997,344.18,46.25,555,21.94,29.46,27.77666667,48,187.75,20,2253.0,2279.0,-2.25,12.25,1.6833333330000002,0
438.0,15,19.0,58.0,39.99,1296,519.81,129.9899902,579.79,92.57,1296,37.13,24.64,23.7,52,202.14,30,2830.0,2830.0,0.0,29.99,6.503333333,0
290.0,32,38.0,638.0,42.49,4518,1650.8,199.9899902,1709.81,144.74,4487,53.25,300.18,390.0633333,625,507.13,177,15721.0,15805.0,-6.435,69.925,51.86333333,0
328.0,11,-651.0,651.0,44.99,2556,1476.08,99.98999023,1632.76,249.4,2494,147.61,311.1966667,321.55,868,644.8,394,6448.0,6721.0,-164.5375,199.5275,79.15333333,1
490.0,21,-69.75,108.75,24.6725,1714,730.18,9.989997864,790.2,86.58,1645,38.43,68.79333333,64.61666667,132,227.95,40,4331.0,4461.0,-14.6725,24.6725,13.77333333,0
348.0,11,-0.75,52.75,59.99,375,527.81,59.98999023,587.79,37.2,372,52.78,0.0,0.0,53,119.4,21,1194.0,1202.0,0.0,49.99,0.0,0
480.0,16,-66.5,325.5,39.99,1180,744.56,149.98999019999997,804.54,78.33,1175,49.64,177.4366667,132.10333329999997,348,222.67,102,3340.0,3350.0,-26.42,75.21,108.46,0
311.0,11,3.0,64.0,39.99,246,334.96,29.98999023,366.51,24.4,244,33.5,17.91,3.536666667,63,47.0,33,470.0,472.0,0.0,29.99,29.74333333,0
379.0,21,-961.25,973.25,61.95,6858,2797.13,129.9899902,2907.46,360.79,6855,147.22,365.2333333,274.6933333,1294,1463.11,270,27799.0,27803.0,-28.72,47.71,284.6033333000001,1
